baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
ENSG00000006756	1.043674785	0.129761387	0.87644897	0.148053557	0.882300502	0.925995848
ENSG00000006757	3.135177977	-1.308733421	0.692332942	-1.890323776	0.058714671	0.162752947
ENSG00000006788	0.042903435	-0.49145229	4.975616276	-0.098772145	0.921319186	NA
ENSG00000006831	18.39381937	-0.221971038	0.26622312	-0.833778216	0.404405973	0.563968826
ENSG00000007001	0.283124763	-0.709382721	1.246129375	-0.569268918	0.569173657	NA
ENSG00000007038	0.333096822	-1.388961456	1.353967631	-1.025845393	0.304964466	NA
ENSG00000007047	1.922433642	-0.154566281	0.631983551	-0.244573266	0.806786866	0.876085292
ENSG00000007062	0.072280748	-0.120013534	5.053275127	-0.023749654	0.981052299	NA
ENSG00000007080	11.03607973	-0.745049211	0.362308186	-2.056396294	0.039744333	0.128049254
ENSG00000007129	4.87206564	-0.570833118	0.537352273	-1.062307068	0.288096307	0.453415267
ENSG00000007168	57.44460928	-0.200423355	0.208099914	-0.963111187	0.335491728	0.498737354
ENSG00000007171	0.116158199	0	5.053481658	0	1	NA
ENSG00000007202	18.93146513	-0.343754042	0.372487812	-0.92285984	0.356080252	0.518154018
ENSG00000007237	5.966601284	0.258062897	0.642116241	0.401894362	0.687761772	0.794752979
ENSG00000007255	22.17731828	-0.215512621	0.283581083	-0.759968255	0.44727356	0.600818298
ENSG00000007264	7.234759771	-1.360235846	0.734044121	-1.853070964	0.063872188	0.17160676
ENSG00000007312	28.87132176	-1.582585998	0.496859776	-3.185176332	0.001446658	0.014543705
ENSG00000007314	0.133536736	-0.038528532	2.269699413	-0.016975169	0.986456425	NA
ENSG00000007341	22.14484588	0.164213648	0.27684712	0.593156426	0.553076471	0.69079907
ENSG00000007350	5.251269013	-0.610357894	0.612234045	-0.996935566	0.318795787	0.483068991
ENSG00000007376	0.827701757	-0.917070691	1.031476493	-0.889085401	0.373957184	0.535756329
ENSG00000007392	20.4993365	-1.144595338	0.447849267	-2.555760212	0.010595611	0.054518971
ENSG00000007402	0.311246641	-0.702750759	2.403475935	-0.292389347	0.769988952	NA
ENSG00000007516	0.265432835	0.571355151	3.41906162	0.167108761	0.867284473	NA
ENSG00000007520	4.66133059	-1.269688197	0.806705959	-1.573916968	0.115506647	0.250557275
ENSG00000007541	1.364212668	0.504540625	0.848997752	0.594277928	0.552326239	0.690262645
ENSG00000007908	0.218405103	-0.478003197	1.24755221	-0.38315286	0.701606428	NA
ENSG00000007923	7.534043861	-0.612719913	0.626182649	-0.978500306	0.32782694	0.491853202
ENSG00000007944	7.952712743	-0.601889871	0.450534774	-1.335945426	0.181567112	0.335899157
ENSG00000007968	0.430745121	1.075512418	1.116099841	0.963634594	0.335229157	NA
ENSG00000008018	98.22112598	-0.758233187	0.220049044	-3.445746338	0.000569485	0.007612177
ENSG00000008083	132.2075652	0.0859828	0.164171264	0.523738429	0.600460483	0.727898804
ENSG00000008086	7.352036806	-0.176137922	0.473296447	-0.372151372	0.709780149	0.808914283
ENSG00000008128	0.158994631	-0.838324159	2.093773795	-0.400389078	0.688869968	NA
ENSG00000008130	31.18088413	-0.269669124	0.382183713	-0.705600775	0.480436442	0.63013602
ENSG00000008226	0.464954139	-0.24635506	1.463852075	-0.168292318	0.866353317	NA
ENSG00000008256	0.537833801	-0.680546054	1.427390073	-0.476776508	0.633521276	NA
ENSG00000008277	0.537869585	-0.499463942	0.719290376	-0.694384297	0.487441239	NA
ENSG00000008282	26.71466061	-0.539258719	0.294935524	-1.828395275	0.06749025	0.17784449
ENSG00000008283	0.668348741	-2.381839912	0.916135389	-2.59987764	0.009325701	0.050323512
ENSG00000008294	18.67693836	-0.243236698	0.383720966	-0.633889518	0.526152927	0.670253644
ENSG00000008300	0.077136524	-0.659548041	4.531751219	-0.145539331	0.884285065	NA
ENSG00000008311	2.869828524	-0.797945972	1.096130436	-0.727966259	0.466634241	0.618651497
ENSG00000008324	8.242826675	-1.163249084	0.344036808	-3.38117625	0.000721762	0.009006238
ENSG00000008382	2.093401808	-1.267299341	0.581131953	-2.180742832	0.029202443	0.104414362
ENSG00000008394	6.846811687	-0.517529587	0.482424016	-1.072769119	0.283374719	0.44835343
ENSG00000008405	17.18234751	-1.233266357	0.477805405	-2.581105913	0.009848436	0.052079564
ENSG00000008438	3.572973536	2.237501883	0.676871741	3.305651201	0.00094756	0.011012791
ENSG00000008441	2.545314618	-0.027549551	0.548029364	-0.05027021	0.959907063	0.974239009
ENSG00000008513	56.69361512	0.292721727	0.188789865	1.550516115	0.121017689	0.257965144
ENSG00000008516	0.247843619	0.732599913	1.658341965	0.441766493	0.658658188	NA
ENSG00000008517	92.48242722	-1.258900119	0.303048986	-4.154114281	3.27E-05	0.000900477
ENSG00000008710	0.324264058	-0.478903626	1.438147391	-0.333000379	0.739133997	NA
ENSG00000008838	7.737861968	-0.856686353	0.629101561	-1.361761607	0.173273132	0.325813679
ENSG00000008853	1.002894684	-1.397288609	0.77317659	-1.807205011	0.07073032	0.183243718
