"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000006062"	3.24751413735317	-2.41241403754764	0.711979980573296	-3.38831723274737	0.000703228781695501	0.00197658491546924
"ENSG00000006074"	0.56161423552649	1.28529200634756	0.843277523620577	1.52416253290994	0.127468114876728	0.19115456534318
"ENSG00000006075"	1.74644277331478	-2.77388878726819	0.532578428344809	-5.20841370892379	1.90461889713231e-07	1.26738546699084e-06
"ENSG00000006114"	18.5815558891315	-2.49363622683212	0.378149329258917	-6.59431614415145	4.27220474440196e-11	6.50555288205562e-10
"ENSG00000006125"	267.583490482365	0.652856015686281	0.174064507391409	3.75065557861397	0.000176372829865822	0.000571232425001384
"ENSG00000006194"	0.587584356021688	-1.35086327610992	0.857140666277135	-1.57601118376193	0.115023225828847	0.175308015389001
"ENSG00000006282"	4.40878424306092	-1.78964204838715	0.665918645214194	-2.68747850994847	0.00719937347322474	0.0156489851473991
"ENSG00000006327"	0.428911632635736	-1.53873287956818	1.50780478164585	-1.02051200413928	0.307485699070059	0.398145299152916
"ENSG00000006432"	0.0933682991739332	-1.11618267636193	3.91517333909167	-0.285091509287016	0.775574034860217	NA
"ENSG00000006451"	12.8719099325182	-1.62905231722671	0.321296238276109	-5.07025020263938	3.97293055279916e-07	2.46514884953288e-06
"ENSG00000006453"	0.0553617753653037	-1.27107361362678	4.91973734772351	-0.258362088011658	0.79612747291829	NA
"ENSG00000006459"	50.1467762335	-0.59201141130998	0.322050688339023	-1.83825538260229	0.0660247823397462	0.108812189120311
"ENSG00000006468"	0.219433774087672	-1.58742985720265	3.00284346954399	-0.528642226377427	0.597053661879738	0.679233126082915
"ENSG00000006530"	9.12056307777269	-2.79996181706703	0.577416072679151	-4.84912344763022	1.24008232695254e-06	6.83582981909319e-06
"ENSG00000006534"	6.02934796666609	-0.386896533214758	0.552824985010913	-0.69985355891091	0.484018762745527	0.575220987357374
"ENSG00000006555"	0.0909509633507949	-1.2810719844317	3.1324751084594	-0.40896477707743	0.682565510161564	NA
"ENSG00000006576"	132.148910362762	0.597923587633496	0.197866845342591	3.02184828690344	0.00251236431757957	0.00615846543233086
"ENSG00000006607"	2.52364110511801	-2.9484265513003	0.731466318647932	-4.03084390372242	5.55769458850468e-05	0.000203359942438101
"ENSG00000006625"	9.91171282212263	-0.967716962058883	0.36388215276998	-2.65942408742042	0.00782743671596007	0.0168494072762646
"ENSG00000006634"	11.4744169675472	-2.63515880975899	0.465060209367468	-5.66627450958036	1.45935661347026e-08	1.25932332437281e-07
"ENSG00000006638"	17.0147739536934	0.834461330027577	0.290492476965548	2.87257466611276	0.00407141855875417	0.00945537902901773
"ENSG00000006652"	692.016722762289	0.295916771241787	0.108846375992602	2.71866443455958	0.00655460671816199	0.0143675894994418
"ENSG00000006659"	0.0657408384938547	-1.05565209784473	4.91996932215465	-0.214564772404397	0.830106661766741	NA
"ENSG00000006695"	3.82701092407771	-2.26085889466113	0.527306397510592	-4.28756204236212	1.80644811441213e-05	7.47138699421176e-05
"ENSG00000006704"	0.108414928296864	-1.61057395202937	3.30551118607519	-0.487238996138959	0.626088973197636	NA
"ENSG00000006712"	24.0523968462872	-1.29409788800188	0.393779386248279	-3.28635254458432	0.001014938966659	0.00273608644356957
"ENSG00000006715"	280.238671918168	-0.0761329544509263	0.166619396181568	-0.456927321762486	0.647723285203293	0.722073660684888
"ENSG00000006740"	0.0635739393235898	-0.993940706714453	4.52858020658456	-0.219481749549067	0.826274795042834	NA
"ENSG00000006744"	11.3759557099028	-1.51114396375065	0.595062810360026	-2.53946967856448	0.0111020668329229	0.0229450484439877
"ENSG00000006747"	0.82356099524815	1.8299645134642	1.9352267021646	0.945607308651403	0.344348915084125	0.437008232689412
"ENSG00000006756"	1.04367478471454	-0.323014386977643	0.852338611081072	-0.378974251287226	0.704706984660484	0.769354904191249
"ENSG00000006757"	3.13517797688378	-1.10858101330176	0.667177732565462	-1.66159774103821	0.0965934566015846	0.150634200002992
"ENSG00000006788"	0.0429034354820615	-0.86273786976043	4.84427664735065	-0.178094261035291	0.858648949016359	NA
"ENSG00000006831"	18.3938193683484	-0.0301153511254369	0.256946065346731	-0.117204951493607	0.906697643241006	0.930186869761357
"ENSG00000007001"	0.283124763078306	-0.250376450812082	1.20903196732699	-0.207088362903779	0.83594085016741	0.875055135294879
"ENSG00000007038"	0.333096822095539	-2.17561853334619	1.31811313594674	-1.65055523233485	0.0988294264903461	0.153721030074883
"ENSG00000007047"	1.92243364174397	-0.130647134519006	0.605014217813229	-0.215940602174969	0.829034047690394	0.869608632304865
"ENSG00000007062"	0.0722807484499949	-0.993902150246926	4.919966104617	-0.202014023900333	0.839905760717009	NA
"ENSG00000007080"	11.0360797341581	-1.31756924460124	0.353083379786693	-3.73160935923185	0.000190260381860585	0.000612325624105726
"ENSG00000007129"	4.87206563977548	-1.8010825178217	0.528434955594805	-3.40833341691865	0.00065360978990102	0.00184729214820057
"ENSG00000007168"	57.4446092775882	-0.39694944824493	0.202218773525343	-1.96297030846734	0.049649624176101	0.0852293810128111
"ENSG00000007171"	0.116158198831665	-0.673016000603816	4.92010515546166	-0.136788946442887	0.891197620973121	NA
"ENSG00000007202"	18.931465133307	-1.93269637792933	0.366254461917987	-5.27692241019608	1.31371475945898e-07	9.04310844161052e-07
"ENSG00000007237"	5.96660128446244	-1.79878535822898	0.632985525064201	-2.84174801318962	0.00448669388636874	0.0102966075683676
